query_text,storeview_id,store_id,website_id,redirect,display_in_terms,is_external
cigare,59,,,in-store-only-es,0,0
Tabac,59,,,in-store-only-es,0,0
winston,59,,,in-store-only-es,0,0
zigaretten,59,,,in-store-only-es,0,0
snus,59,,,in-store-only-es,0,0
tobacc,59,,,in-store-only-es,0,0
taba,59,,,in-store-only-es,0,0
vape,59,,,in-store-only-es,0,0
marlboro gold,59,,,in-store-only-es,0,0
cigaret,59,,,in-store-only-es,0,0
cigarros,59,,,in-store-only-es,0,0
amber leaf tobacco,59,,,in-store-only-es,0,0
cigarrillos,59,,,in-store-only-es,0,0
Tobaco,59,,,in-store-only-es,0,0
cigarets,59,,,in-store-only-es,0,0
tobac,59,,,in-store-only-es,0,0
cigarett,59,,,in-store-only-es,0,0
lucky strike,59,,,in-store-only-es,0,0
Cigarro,59,,,in-store-only-es,0,0
heets,59,,,in-store-only-es,0,0
marlbo,59,,,in-store-only-es,0,0
Tabak,59,,,in-store-only-es,0,0
tobbaco,59,,,in-store-only-es,0,0
rolling tobacco,59,,,in-store-only-es,0,0
golden virginia tobacco,59,,,in-store-only-es,0,0
cigarr,59,,,in-store-only-es,0,0
Tabacc,59,,,in-store-only-es,0,0
tabbaco,59,,,in-store-only-es,0,0
cigarete,59,,,in-store-only-es,0,0
cigaretts,59,,,in-store-only-es,0,0
cigaretter,59,,,in-store-only-es,0,0
cigaretes,59,,,in-store-only-es,0,0
Cigarettes,60,,,in-store-only-en,0,0
tobacco,60,,,in-store-only-en,0,0
cigarette,60,,,in-store-only-en,0,0
Marlboro,60,,,in-store-only-en,0,0
cig,60,,,in-store-only-en,0,0
amber leaf,60,,,in-store-only-en,0,0
cigar,60,,,in-store-only-en,0,0
terea,60,,,in-store-only-en,0,0
ciga,60,,,in-store-only-en,0,0
golden virginia,60,,,in-store-only-en,0,0
toba,60,,,in-store-only-en,0,0
tabaco,60,,,in-store-only-en,0,0
cigars,60,,,in-store-only-en,0,0
tabacco,60,,,in-store-only-en,0,0
camel,60,,,in-store-only-en,0,0
Malboro,60,,,in-store-only-en,0,0
Iqos,60,,,in-store-only-en,0,0
Amberleaf,60,,,in-store-only-en,0,0
cigare,60,,,in-store-only-en,0,0
Tabac,60,,,in-store-only-en,0,0
winston,60,,,in-store-only-en,0,0
zigaretten,60,,,in-store-only-en,0,0
snus,60,,,in-store-only-en,0,0
tobacc,60,,,in-store-only-en,0,0
taba,60,,,in-store-only-en,0,0
vape,60,,,in-store-only-en,0,0
marlboro gold,60,,,in-store-only-en,0,0
cigaret,60,,,in-store-only-en,0,0
cigarros,60,,,in-store-only-en,0,0
amber leaf tobacco,60,,,in-store-only-en,0,0
cigarrillos,60,,,in-store-only-en,0,0
Tobaco,60,,,in-store-only-en,0,0
cigarets,60,,,in-store-only-en,0,0
tobac,60,,,in-store-only-en,0,0
cigarett,60,,,in-store-only-en,0,0
lucky strike,60,,,in-store-only-en,0,0
Cigarro,60,,,in-store-only-en,0,0
heets,60,,,in-store-only-en,0,0
marlbo,60,,,in-store-only-en,0,0
Tabak,60,,,in-store-only-en,0,0
tobbaco,60,,,in-store-only-en,0,0
rolling tobacco,60,,,in-store-only-en,0,0
golden virginia tobacco,60,,,in-store-only-en,0,0
cigarr,60,,,in-store-only-en,0,0
Tabacc,60,,,in-store-only-en,0,0
tabbaco,60,,,in-store-only-en,0,0
cigarete,60,,,in-store-only-en,0,0
cigaretts,60,,,in-store-only-en,0,0
cigaretter,60,,,in-store-only-en,0,0
cigaretes,60,,,in-store-only-en,0,0
Cigarettes,61,,,in-store-only-es,0,0
tobacco,61,,,in-store-only-es,0,0
cigarette,61,,,in-store-only-es,0,0
Marlboro,61,,,in-store-only-es,0,0
cig,61,,,in-store-only-es,0,0
amber leaf,61,,,in-store-only-es,0,0
cigar,61,,,in-store-only-es,0,0
terea,61,,,in-store-only-es,0,0
ciga,61,,,in-store-only-es,0,0
golden virginia,61,,,in-store-only-es,0,0
toba,61,,,in-store-only-es,0,0
tabaco,61,,,in-store-only-es,0,0
cigars,61,,,in-store-only-es,0,0
tabacco,61,,,in-store-only-es,0,0
camel,61,,,in-store-only-es,0,0
Malboro,61,,,in-store-only-es,0,0
Iqos,61,,,in-store-only-es,0,0
Amberleaf,61,,,in-store-only-es,0,0
cigare,61,,,in-store-only-es,0,0
Tabac,61,,,in-store-only-es,0,0
winston,61,,,in-store-only-es,0,0
zigaretten,61,,,in-store-only-es,0,0
snus,61,,,in-store-only-es,0,0
tobacc,61,,,in-store-only-es,0,0
taba,61,,,in-store-only-es,0,0
vape,61,,,in-store-only-es,0,0
marlboro gold,61,,,in-store-only-es,0,0
cigaret,61,,,in-store-only-es,0,0
cigarros,61,,,in-store-only-es,0,0
amber leaf tobacco,61,,,in-store-only-es,0,0
cigarrillos,61,,,in-store-only-es,0,0
Tobaco,61,,,in-store-only-es,0,0
cigarets,61,,,in-store-only-es,0,0
tobac,61,,,in-store-only-es,0,0
cigarett,61,,,in-store-only-es,0,0
lucky strike,61,,,in-store-only-es,0,0
Cigarro,61,,,in-store-only-es,0,0
heets,61,,,in-store-only-es,0,0
marlbo,61,,,in-store-only-es,0,0
Tabak,61,,,in-store-only-es,0,0
tobbaco,61,,,in-store-only-es,0,0
rolling tobacco,61,,,in-store-only-es,0,0
golden virginia tobacco,61,,,in-store-only-es,0,0
cigarr,61,,,in-store-only-es,0,0
Tabacc,61,,,in-store-only-es,0,0
tabbaco,61,,,in-store-only-es,0,0
cigarete,61,,,in-store-only-es,0,0
cigaretts,61,,,in-store-only-es,0,0
cigaretter,61,,,in-store-only-es,0,0
cigaretes,61,,,in-store-only-es,0,0
Cigarettes,62,,,in-store-only-en,0,0
tobacco,62,,,in-store-only-en,0,0
cigarette,62,,,in-store-only-en,0,0
Marlboro,62,,,in-store-only-en,0,0
cig,62,,,in-store-only-en,0,0
amber leaf,62,,,in-store-only-en,0,0
cigar,62,,,in-store-only-en,0,0
terea,62,,,in-store-only-en,0,0
ciga,62,,,in-store-only-en,0,0
golden virginia,62,,,in-store-only-en,0,0
toba,62,,,in-store-only-en,0,0
tabaco,62,,,in-store-only-en,0,0
cigars,62,,,in-store-only-en,0,0
tabacco,62,,,in-store-only-en,0,0
camel,62,,,in-store-only-en,0,0
Malboro,62,,,in-store-only-en,0,0
Iqos,62,,,in-store-only-en,0,0
Amberleaf,62,,,in-store-only-en,0,0
cigare,62,,,in-store-only-en,0,0
Tabac,62,,,in-store-only-en,0,0
winston,62,,,in-store-only-en,0,0
zigaretten,62,,,in-store-only-en,0,0
snus,62,,,in-store-only-en,0,0
tobacc,62,,,in-store-only-en,0,0
taba,62,,,in-store-only-en,0,0
vape,62,,,in-store-only-en,0,0
marlboro gold,62,,,in-store-only-en,0,0
cigaret,62,,,in-store-only-en,0,0
cigarros,62,,,in-store-only-en,0,0
amber leaf tobacco,62,,,in-store-only-en,0,0
cigarrillos,62,,,in-store-only-en,0,0
Tobaco,62,,,in-store-only-en,0,0
cigarets,62,,,in-store-only-en,0,0
tobac,62,,,in-store-only-en,0,0
cigarett,62,,,in-store-only-en,0,0
lucky strike,62,,,in-store-only-en,0,0
Cigarro,62,,,in-store-only-en,0,0
heets,62,,,in-store-only-en,0,0
marlbo,62,,,in-store-only-en,0,0
